"","Sampletype","Calibtype","Calibnum","Sampnum","ab","Samp","SampleID","Temp","Pressure_inHg","Pressure","Index","Time","X28","X32","X40","X15","X99","X29","X34","N2.Ar","O2.Ar","29/28","34/32","Sampleset","Treatment","Sampletime","Location","samptype","Sampler","Date","Comments","waterbath1","waterbath2","rundate","nar","O2ar","watdensv","osat1v","nsatv","arsatv","narsat","O2arsat","coef1","coef2","narcalc","arcoef1","arcoef2","arconc","nconc","O2conc","O2arcalc"
"1","Samp",NA,NA,1,"a",3,"J19",8.33,26.43,671.321992202516,406,1899-12-31 13:30:37,1.204962e-08,3.814442e-09,3.045084e-10,2.464601e-11,3.327912e-07,8.390205e-11,1.462049e-11,39.57073,12.52656,0.006963046,0.003832932,NA,NA,"8/31/18 0:00","Beaver",NA,NA,NA,NA,NA,NA,NA,39.57073,12.52656,0.999825719905987,10.3623092463994,16.7406652065611,0.632558044514232,26.4650261770317,16.3815942841373,3.72148250767853,0.574873050380444,26.4696287685595,-0.118176750805449,2684916970.18597,0.699403019918727,27.6758880623886,6.7651853688735,10.0688896964139
"2","Samp",NA,NA,1,"b",3,"J19",8.33,26.43,671.321992202516,440,1899-12-31 13:32:18,1.201253e-08,3.815043e-09,3.03285e-10,2.432341e-11,3.318388e-07,8.352809e-11,1.46561e-11,39.60807,12.57907,0.006953411,0.003841661,NA,NA,"8/31/18 0:00","Beaver",NA,NA,NA,NA,NA,NA,NA,39.60807,12.57907,0.999825719905987,10.3623092463994,16.7406652065611,0.632558044514232,26.4650261770317,16.3815942841373,3.72148250767853,0.574873050380444,26.4910945282607,-0.118176750805449,2684916970.18597,0.696118292497402,27.5719020575176,6.76625128530549,10.1110974053107
"3","Samp",NA,NA,1,"a",4,"J9",12.93,26.36,669.543992223167,534,1899-12-31 13:36:59,1.114719e-08,5.939043e-09,2.837265e-10,1.33433e-11,3.722551e-07,7.770351e-11,2.24513e-11,39.28849,20.93228,0.006970684,0.00378029,NA,NA,"8/30/18 14:00","Beaver",NA,NA,NA,NA,NA,NA,NA,39.28849,20.93228,0.999384901424345,9.27844343824782,15.1217132971778,0.566909457713183,26.6739478261241,16.3667113187272,3.72148250767853,0.574873050380444,26.3073765988201,-0.118176750805449,2684916970.18597,0.643605343936019,25.2862821191769,10.5333170116915,16.8254347893157
"4","Samp",NA,NA,1,"b",4,"J9",12.93,26.36,669.543992223167,551,1899-12-31 13:37:49,1.1055e-08,5.912805e-09,2.819449e-10,1.317075e-11,3.710478e-07,7.704546e-11,2.236382e-11,39.20977,20.97149,0.006969289,0.003782269,NA,NA,"8/30/18 14:00","Beaver",NA,NA,NA,NA,NA,NA,NA,39.20977,20.97149,0.999384901424345,9.27844343824782,15.1217132971778,0.566909457713183,26.6739478261241,16.3667113187272,3.72148250767853,0.574873050380444,26.2621225922942,-0.118176750805449,2684916970.18597,0.638821895861936,25.0480596077105,10.4867820443992,16.8569519149269
"5","Samp",NA,NA,1,"a",5,"J20",8.33,26.43,671.321992202516,696,1899-12-31 13:45:02,1.212895e-08,3.790893e-09,3.059806e-10,2.491501e-11,3.345278e-07,8.445077e-11,1.451624e-11,39.6396,12.38933,0.006962745,0.003829239,NA,NA,"8/31/18 0:00","Beaver",NA,NA,NA,NA,NA,NA,NA,39.6396,12.38933,0.999825719905987,10.3623092463994,16.7406652065611,0.632558044514232,26.4650261770317,16.3815942841373,3.72148250767853,0.574873050380444,26.5092202755392,-0.118176750805449,2684916970.18597,0.703355754682235,27.8807407733019,6.72341953516791,9.95858377579094
"6","Samp",NA,NA,1,"b",5,"J20",8.33,26.43,671.321992202516,703,1899-12-31 13:45:23,1.214622e-08,3.790656e-09,3.060115e-10,2.490988e-11,3.350526e-07,8.451756e-11,1.452672e-11,39.69203,12.3873,0.006958344,0.003832245,NA,NA,"8/31/18 0:00","Beaver",NA,NA,NA,NA,NA,NA,NA,39.69203,12.3873,0.999825719905987,10.3623092463994,16.7406652065611,0.632558044514232,26.4650261770317,16.3815942841373,3.72148250767853,0.574873050380444,26.5393608695706,-0.118176750805449,2684916970.18597,0.703438718616614,27.9209107224922,6.72299919873799,9.95695205518418
"7","Samp",NA,NA,1,"a",6,"J10",12.93,26.36,669.543992223167,864,1899-12-31 13:53:24,1.081592e-08,5.803095e-09,2.77577e-10,1.255581e-11,3.627383e-07,7.542207e-11,2.195897e-11,38.96549,20.90626,0.006973243,0.003784011,NA,NA,"8/30/18 14:00","Beaver",NA,NA,NA,NA,NA,NA,NA,38.96549,20.90626,0.999384901424345,9.27844343824782,15.1217132971778,0.566909457713183,26.6739478261241,16.3667113187272,3.72148250767853,0.574873050380444,26.1216926035472,-0.118176750805449,2684916970.18597,0.627094447027861,24.4350424047196,10.2922035223456,16.8045198286321
"8","Samp",NA,NA,1,"b",6,"J10",12.93,26.36,669.543992223167,868,1899-12-31 13:53:36,1.080057e-08,5.800576e-09,2.773896e-10,1.257663e-11,3.623595e-07,7.530055e-11,2.194287e-11,38.93647,20.91129,0.006971904,0.003782877,NA,NA,"8/30/18 14:00","Beaver",NA,NA,NA,NA,NA,NA,NA,38.93647,20.91129,0.999384901424345,9.27844343824782,15.1217132971778,0.566909457713183,26.6739478261241,16.3667113187272,3.72148250767853,0.574873050380444,26.1050097876252,-0.118176750805449,2684916970.18597,0.626591293587648,24.3972531050366,10.2877358959027,16.8085629590026
"9","Samp",NA,NA,1,"a",7,"J13",12.77,26.35,669.289992226118,1022,1899-12-31 14:01:15,1.125863e-08,5.782865e-09,2.847453e-10,1.242693e-11,3.723532e-07,7.854432e-11,2.191012e-11,39.5393,20.3089,0.006976365,0.003788801,NA,NA,"8/30/18 18:00","Beaver",NA,NA,NA,NA,NA,NA,NA,39.5393,20.3089,0.999404840467582,9.30837539996488,15.1657955069378,0.568721348560932,26.6664783119408,16.3671988461808,3.72148250767853,0.574873050380444,26.451560508586,-0.118176750805449,2684916970.18597,0.646340737345245,25.5558603161148,10.2563241722303,16.3243599164895
"10","Samp",NA,NA,1,"b",7,"J13",12.77,26.35,669.289992226118,1030,1899-12-31 14:01:39,1.124383e-08,5.778824e-09,2.844085e-10,1.244129e-11,3.715775e-07,7.848806e-11,2.188617e-11,39.53409,20.31875,0.006980544,0.003787305,NA,NA,"8/30/18 18:00","Beaver",NA,NA,NA,NA,NA,NA,NA,39.53409,20.31875,0.999404840467582,9.30837539996488,15.1657955069378,0.568721348560932,26.6664783119408,16.3671988461808,3.72148250767853,0.574873050380444,26.4485654199935,-0.118176750805449,2684916970.18597,0.645436457309686,25.5167429925623,10.2491571700645,16.3322773785469
