Syringe,ResetTime,H2O_mL,air_mL,SampleID
13,2018-08-10 20:38:49,40,70,BeaverDwn_89_2200
30,2018-08-10 20:41:14,40,70,BeaverDwn_89_1600
27,2018-08-10 20:43:37,40,70,BeaverDwn_89_1600
7,2018-08-10 20:46:14,40,70,BeaverDwn_89_1800
12,2018-08-10 20:48:55,40,70,BeaverDwn_810_0000
24,2018-08-10 20:51:10,40,70,BeaverDwn_89_2000
28,2018-08-10 20:53:29,40,70,BeaverDwn_89_1800
32,2018-08-10 20:56:02,40,70,BeaverDwn_89_1800
2,2018-08-10 20:58:29,40,70,BeaverDwn_89_2000
3,2018-08-10 21:00:53,40,70,BeaverDwn_89_2000
14,2018-08-10 21:03:18,40,70,BeaverDwn_810_0000
9,2018-08-10 21:05:41,40,70,BeaverDwn_89_1600
1,2018-08-10 21:07:53,40,70,BeaverDwn_89_1400
6,2018-08-10 21:10:14,40,70,BeaverDwn_89_2200
4,2018-08-10 21:12:39,40,70,BeaverDwn_810_0000
33,2018-08-10 21:15:04,40,70,BeaverDwn_89_2200
37,2018-08-10 21:17:34,40,70,BeaverDwn_810_0200
31,2018-08-10 21:20:09,40,70,BeaverDwn_810_0400
38,2018-08-10 21:22:15,40,70,BeaverDwn_810_0200
54,2018-08-10 21:24:39,40,70,BeaverDwn_810_0200
52,2018-08-10 21:26:56,40,70,BeaverDwn_810_0400
36,2018-08-10 21:29:23,40,70,BeaverDwn_810_0400
26,2018-08-10 21:32:03,40,70,BeaverDwn_810_0600
55,2018-08-10 21:34:15,40,70,BeaverDwn_810_0600
34,2018-08-10 21:36:42,40,70,BeaverDwn_810_0600
70,2018-08-10 21:39:17,40,70,BeaverDwn_Contam
29,2018-08-10 21:41:35,40,70,BeaverDwn_Contam
75,2018-08-10 21:44:08,40,70,BeaverDwn_Contam
22,2018-08-10 21:46:40,40,70,BeaverDwn_Contam
10,2018-08-10 21:49:14,40,70,BeaverDwn_Contam
83,2018-08-10 21:51:45,40,70,BeaverDwn_Contam
80,2018-08-10 21:54:38,40,70,BeaverDwn_Contam
79,2018-08-10 22:02:12,40,70,BeaverDwn_Contam
78,2018-08-10 22:07:16,40,70,BeaverDwn_Contam
76,2018-08-10 22:09:20,40,70,BeaverDwn_Contam
74,2018-08-10 22:09:40,40,70,BeaverDwn_Contam
72,2018-08-10 22:11:29,40,70,BeaverDwn_Contam
17,2018-08-10 22:11:55,40,70,BeaverDwn_Contam
81,2018-08-10 22:14:34,40,70,BeaverDwn_Contam
82,2018-08-10 22:17:19,40,70,BeaverDwn_Contam
